,PC1,PC2,PC3
loan_amnt,0.5243093925609952,-0.14575509180601187,-0.16644737611920388
revol_bal,0.4321683428158171,-0.2722122553507166,0.12711654580131554
term_months,0.41178216578245813,0.3445606648086656,-0.21689737632446465
annual_inc,0.3348161523300141,-0.48170294565878224,-0.29354320914538407
open_acc,0.26435437701347386,-0.18892654803554013,0.5436632490212332
revol_util,0.257278670141464,0.27890088346582365,-0.11354255740344964
int_rate,0.25544296295425417,0.5777228495704576,-0.18477662770918513
dti,0.18173518689469825,0.31456747968879745,0.651893448634899
pub_rec,-0.14817967144907593,0.08745932332982459,-0.2338048901776306
delinq_2yrs,0.018767662544559804,-0.007189915036794983,-0.02628173139413096
